threshold,precision,recall,f1,tp,fp,tn,fn,pred_pos,support_pos_rate
0.55,0.009214332726187378,0.5103136479231422,0.018101815193096053,1806,194193,465931,1733,195999,0.005332525694516645
0.56,0.009217932790380221,0.5094659508335688,0.018108227542985703,1803,193794,466330,1736,195597,0.005332525694516645
0.57,0.009236254475971907,0.5094659508335688,0.018143578803308715,1803,193406,466718,1736,195209,0.005332525694516645
0.58,0.009246234251624894,0.5089008194405199,0.0181624739689695,1801,192981,467143,1738,194782,0.005332525694516645
0.59,0.009249113926655247,0.5080531223509466,0.01816748848112521,1798,192599,467525,1741,194397,0.005332525694516645
0.6,0.009242887409981082,0.5066402938683244,0.018154572056336887,1793,192194,467930,1746,193987,0.005332525694516645
0.61,0.009264234783507285,0.5066402938683244,0.018195748912872504,1793,191747,468377,1746,193540,0.005332525694516645
0.62,0.009262471200393486,0.5055100310822266,0.018191617010026234,1789,191356,468768,1750,193145,0.005332525694516645
0.63,0.009271365126800315,0.5049448996891778,0.018208403172969644,1787,190957,469167,1752,192744,0.005332525694516645
0.64,0.009291032360036602,0.5049448996891778,0.018246330567964264,1787,190549,469575,1752,192336,0.005332525694516645
0.65,0.009306445729769162,0.5046623339926533,0.018275867361818174,1786,190124,470000,1753,191910,0.005332525694516645
0.66,0.009316121485566278,0.5040972025996044,0.018294152331632785,1784,189712,470412,1755,191496,0.005332525694516645
0.67,0.009328084758893612,0.5035320712065555,0.018316844404471285,1782,189254,470870,1757,191036,0.005332525694516645
0.68,0.009322309540547063,0.5021192427239333,0.018304773971579702,1777,188841,471283,1762,190618,0.005332525694516645
0.69,0.009323972548710263,0.5009889799378355,0.018307226862990075,1773,188382,471742,1766,190155,0.005332525694516645
0.7,0.009335990215924427,0.5004238485447866,0.01833001267886252,1771,187925,472199,1768,189696,0.005332525694516645
0.71,0.009331670612106865,0.49901102006216447,0.0183207373941189,1766,187482,472642,1773,189248,0.005332525694516645
0.72,0.009348417919301702,0.49872845436564,0.018352821291352336,1765,187037,473087,1774,188802,0.005332525694516645
0.73,0.00935686178714998,0.4978807572760667,0.018368517070628095,1762,186549,473575,1777,188311,0.005332525694516645
0.74,0.009374750459155154,0.49759819157954227,0.01840279229193663,1761,186084,474040,1778,187845,0.005332525694516645
0.75,0.009389746546238763,0.49703306018649335,0.0184312965301172,1759,185573,474551,1780,187332,0.005332525694516645
0.76,0.00941234419839808,0.49675049448996894,0.018474634159157188,1758,185018,475106,1781,186776,0.005332525694516645
0.77,0.00942312235561951,0.4959027974003956,0.018494807227201593,1755,184489,475635,1784,186244,0.005332525694516645
