range,code,event_date,y_prob,y_pred,close_t,close_t+1,close_t+2,close_t+3,close_t+4,close_t+5,
"[0.85,1.00]",600744,7/3/25,0.9168133,1,5.54,6.09,6.7,7.37,8.11,7.97,1
"[0.85,1.00]",600744,7/4/25,0.9189268,1,6.09,6.7,7.37,8.11,7.97,8.58,1
"[0.85,1.00]",600744,7/7/25,0.92738694,1,6.7,7.37,8.11,7.97,8.58,9.17,1
"[0.85,1.00]",600744,7/8/25,0.9431078,1,7.37,8.11,7.97,8.58,9.17,8.25,1
"[0.85,1.00]",600744,7/9/25,0.9635516,1,8.11,7.97,8.58,9.17,8.25,8.3,1
"[0.85,1.00]",600744,7/10/25,0.90242934,1,7.97,8.58,9.17,8.25,8.3,8.12,1
"[0.85,1.00]",600744,7/11/25,0.9148927,1,8.58,9.17,8.25,8.3,8.12,8.02,1
"[0.85,1.00]",600744,7/14/25,0.9337958,1,9.17,8.25,8.3,8.12,8.02,7.72,0
"[0.85,1.00]",600749,7/22/25,0.8798315,1,14.47,15.92,17.51,19.26,21.19,23.31,1
"[0.85,1.00]",600749,7/23/25,0.93188244,1,15.92,17.51,19.26,21.19,23.31,25.64,1
"[0.85,1.00]",600749,7/24/25,0.9396823,1,17.51,19.26,21.19,23.31,25.64,28.2,1
"[0.85,1.00]",600749,7/25/25,0.93744004,1,19.26,21.19,23.31,25.64,28.2,28.2,1
"[0.85,1.00]",600749,7/28/25,0.9580749,1,21.19,23.31,25.64,28.2,28.2,25.38,1
"[0.85,1.00]",600749,7/29/25,0.96345955,1,23.31,25.64,28.2,28.2,25.38,26.53,1
"[0.85,1.00]",600749,7/30/25,0.8820572,1,25.64,28.2,28.2,25.38,26.53,23.88,1
"[0.85,1.00]",600749,7/31/25,0.883583,1,28.2,28.2,25.38,26.53,23.88,23.63,0
"[0.85,1.00]",600749,8/4/25,0.8859835,1,25.38,26.53,23.88,23.63,,,1
"[0.85,1.00]",600749,8/5/25,0.8758181,1,26.53,23.88,23.63,,,,0
"[0.85,1.00]",600751,7/18/25,0.88660437,1,4.1,4.2,4.06,3.83,3.99,3.84,1
